CityPart,Area,Rooms,Bedrooms,Floor,MaxFloor,LastFloor,Status,Condition,Electrical Points,Heating,Natural Gas,Bed,Stove (Gas/Electric),Table,Refrigerator,Chairs,Oven,Air Conditioner,Washing Machine,Sofa,Dishwasher,PRICE (GEL)
Bagebshi,143,3,2,10,12,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,475493
Did Dighomshi,100,3,2,5,5,1,Newly Constructed,Black Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,190197
Nadzaladevshi,133,2,1,12,12,1,Newly Constructed,White Frame,1,,0,0,0,0,0,0,0,0,0,0,0,307168
Isanshi,150,3,2,2,6,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,652104
Avlabarshi,59,2,1,6,6,1,Newly Constructed,Green Frame,,,0,0,0,0,0,0,0,0,0,0,0,312467
Avlabarshi,83,3,2,1,6,0,Newly Constructed,Newly Renovated,,,1,0,0,0,0,0,0,0,0,0,0,360831
Vakeshi,122,3,2,9,15,0,Newly Constructed,Newly Renovated,2,Central Heating,0,0,0,0,0,0,0,0,0,0,0,1032498
Saburtaloze,100,3,2,6,12,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,543420
Isanshi,48,2,1,10,16,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,146723
Veraze,105,4,3,1,3,0,Old Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,611348
Chughuretshi,309,5,4,7,7,1,Newly Constructed,Newly Renovated,3,Central Heating,1,0,0,1,0,0,0,0,0,0,0,2173680
Vakeshi,103,3,2,5,14,0,Newly Constructed,Green Frame,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,728183
Saburtaloze,82,2,1,6,30,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,883058
Chughuretshi,135,5,3,3,4,0,Old Constructed,Old Renovated,2,Gas Heater,1,0,0,0,0,0,0,0,0,0,0,434736
Ortachalashi,91,3,2,6,9,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,366809
Saburtaloze,365,7,5,12,12,1,Newly Constructed,Newly Renovated,3,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1263452
Saburtaloze,200,6,4,2,6,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,937400
Chughuretshi,97,5,2,1,2,0,Old Constructed,Old Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,393980
Isanshi,54,2,1,3,22,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,374960
Did Dighomshi,88,3,2,7,13,0,Newly Constructed,Newly Renovated,1,,1,0,0,0,0,0,0,0,0,0,0,249973
Saburtaloze,95,2,1,11,32,0,Newly Constructed,Newly Renovated,2,Central Heating,0,0,0,0,0,0,0,0,0,0,0,1032498
Isanshi,68,3,2,2,16,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,201065
Nutsubidzis Ferdobze,199,5,4,4,10,0,Newly Constructed,White Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,701012
Saburtaloze,107,4,2,5,5,1,Old Constructed,Old Renovated,1,Gas Heater,1,0,0,0,0,0,0,0,0,0,0,326052
Avlabarshi,120,4,3,2,6,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,692861
Saburtaloze,60,2,1,3,8,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,475493
Saburtaloze,203,5,3,18,22,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1086840
Gldanshi,46,3,2,4,6,0,Under Construction,Ongoing Renovation,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,149984
Gldanshi,42,3,2,5,10,0,Under Construction,Ongoing Renovation,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,108412
Saburtaloze,62.5,2,1,9,29,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,461907
Vakeshi,180,4,3,3,8,0,Newly Constructed,Newly Renovated,3,Central Heating,1,0,0,0,0,0,0,0,0,0,0,978156
Vashlijvarshi,77.9,3,2,3,9,0,Newly Constructed,White Frame,1,,1,0,0,0,0,0,0,0,0,0,0,211662
Vakeshi,180,4,2,4,5,0,Old Constructed,Old Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,8939259
Ortachalashi,92.2,4,2,2,7,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,1,0,0,0,0,0,0,0,421151
Didubeshi,57.9,2,1,11,25,0,Under Construction,White Frame,1,,0,0,0,0,0,0,0,0,0,0,0,218675
Didubeshi,69.7,2,1,11,25,0,Under Construction,White Frame,1,,0,0,0,0,0,0,0,0,0,0,0,263241
Didubeshi,58.7,2,1,11,25,0,Under Construction,White Frame,1,,0,0,0,0,0,0,0,0,0,0,0,221696
Didubeshi,56.8,2,1,11,25,0,Under Construction,White Frame,1,,0,0,0,0,0,0,0,0,0,0,0,214520
Didubeshi,58,2,1,11,25,0,Under Construction,White Frame,1,,0,0,0,0,0,0,0,0,0,0,0,219053
Bagebshi,60,2,1,6,12,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,339638
Nadzaladevshi,80.6,2,1,6,12,0,Newly Constructed,White Frame,,,0,0,0,0,0,0,0,0,0,0,0,269368
Saburtaloze,87,3,2,12,22,0,Newly Constructed,White Frame,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,377677
Saburtaloze,117,4,3,3,10,0,Old Constructed,Needs Renovation,1,,1,0,0,0,0,0,0,0,0,0,0,317629
Ortachalashi,110.5,4,3,3,14,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,419792
Nutsubidzis Ferdobze,82.7,4,2,1,12,0,Newly Constructed,Ongoing Renovation,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,224704
Vakeshi,72,2,1,18,21,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,638519
Vakeshi,127,3,2,10,21,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,964571
Chughuretshi,127,2,1,2,2,1,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,380394
Nutsubidzis Ferdobze,90,3,2,11,12,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,404848
Vashlijvarshi,211.35,4,3,4,6,0,Under Construction,White Frame,3,,0,0,0,0,0,0,0,0,0,0,0,1437346
Vakeshi,383,7,4,6,7,0,Old Constructed,Old Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,707261
Saburtaloze,160,4,3,5,9,0,Old Constructed,Newly Renovated,3,Gas Heater,1,0,0,1,0,0,0,0,0,0,0,489078
Saburtaloze,60.9,2,1,13,20,0,Under Construction,Black Frame,1,,0,0,0,0,0,0,0,0,0,0,0,225519
Saburtaloze,71.7,2,1,2,20,0,Under Construction,Black Frame,1,,0,0,0,0,0,0,0,0,0,0,0,249973
Saburtaloze,104.7,3,2,7,20,0,Under Construction,Black Frame,2,,0,0,0,0,0,0,0,0,0,0,0,307032
Veraze,65,1,,5,5,1,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,421151
Saburtaloze,90,3,2,2,5,0,Old Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,459190
Gldanshi,49,2,1,3,7,0,Newly Constructed,White Frame,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,135855
Ortachalashi,131,3,2,6,6,1,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,733617
Isanshi,90,3,2,12,15,0,Newly Constructed,Green Frame,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,293447
Saburtaloze,85,3,1,10,11,0,Newly Constructed,Newly Renovated,1,Gas Heater,1,0,0,1,0,0,0,0,0,0,0,339638
Isanshi,54,2,1,3,22,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,1,0,0,0,0,0,0,0,374960
Avlabarshi,57,2,1,3,4,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,353223
Ortachalashi,78,3,2,3,12,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,326052
Vakeshi,115,3,2,5,10,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,733617
Saburtaloze,145,5,2,12,12,1,Newly Constructed,Newly Renovated,3,Central Heating,1,1,1,1,1,1,1,1,1,1,1,589611
Saburtaloze,212,4,3,27,32,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,1412892
Vakeshi,62,2,1,7,24,0,Newly Constructed,Green Frame,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,454843
Vakeshi,112,3,2,9,24,0,Newly Constructed,Green Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,638519
Vakeshi,142,5,4,12,24,0,Newly Constructed,Green Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,790676
Vakeshi,195,6,4,9,24,0,Newly Constructed,Green Frame,3,Central Heating,1,0,0,0,0,0,0,0,0,0,0,1059669
Vakeshi,97,3,2,11,24,0,Newly Constructed,Green Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,537986
Vakeshi,194,6,4,11,19,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,2744271
Saburtaloze,50,2,1,2,8,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,258125
Ortachalashi,60,2,1,6,11,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,366809
Vakeshi,125,4,3,12,12,1,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1188731
Isanshi,87.5,3,2,14,23,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,260842
Saburtaloze,44,2,1,7,15,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,258125
Isanshi,99,3,2,2,10,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,285296
Dighomi 1-9-Shi,53,2,1,1,9,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,259211
Isanshi,70,3,2,3,10,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,320618
Ortachalashi,99,4,2,3,10,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,448322
Did Dighomshi,44,2,1,9,9,1,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,168460
Veraze,167,5,3,2,3,0,Old Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,1086840
Isanshi,58,3,2,10,10,1,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,203783
Saburtaloze,80,3,2,12,21,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,543420
Vashlijvarshi,62.1,2,1,11,13,0,Newly Constructed,White Frame,1,,0,0,0,0,0,0,0,0,0,0,0,185605
Nutsubidzis Ferdobze,52,2,1,2,7,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,214651
Vakeshi,125,3,2,15,22,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1494405
Vakeshi,169,4,3,4,7,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1073255
Dighmis Masivshi,74.2,3,2,6,9,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,285296
Vazisubanshi,98,3,2,9,13,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,339638
Mtatsmindaze,90,3,2,8,9,0,Newly Constructed,Newly Renovated,,Central Heating,0,0,0,0,0,0,0,0,0,0,0,720032
Vedzisshi,56,2,1,3,9,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,388545
Didubeshi,57.6,2,1,1,5,0,Newly Constructed,Green Frame,1,,0,0,0,0,0,0,0,0,0,0,0,186241
